Model,Feature,MAE,MSE,R2
linear_regression,newCases,9.625546887326308e-16,1.02227789798257e-30,1.0
linear_regression,intenciveCareUnit,9.960476071386594e-16,1.1576959789909172e-30,1.0
linear_regression,deaths,1.0057314458369065e-15,1.1241267899399419e-30,1.0
random_forest,newCases,0.3519656022989401,0.18689054234298239,0.8986703616873319
random_forest,intenciveCareUnit,0.9919171782390677,1.1863907096149013,-1.9203933081348712
random_forest,deaths,1.2642581040159475,1.9706276701104575,-17.27289138965325
arima,newCases,1.8022771748702058,5.044929958560482,-1.7352958667941527
arima,intenciveCareUnit,0.5531817126398682,0.4337729679576806,-0.06776600879200045
arima,deaths,2.92637823252534,8.66450258915099,-79.34268327717685
xgboost,newCases,0.19096183449752924,0.11137680594101873,0.9396129342826137
xgboost,intenciveCareUnit,0.015867174855826796,0.0004119598133085563,0.9989859287735005
xgboost,deaths,0.8081784531637025,0.7629505925276464,-6.074554734201939
